gazebo-time, fl-z, foot-contact-time, fl-contact, gazebo-time, fr-z, foot-contact-time, fr-contact, gazebo-time, rl-z, foot-contact-time, rl-contact, gazebo-time, rr-z, foot-contact-time, rr-contact
, , 2916.6219999999998436, 0, , , 2916.6219999999998436, 1, , , 2916.6219999999998436, 1, , , 2916.6219999999998436, 0
, , 2916.6289999999999054, 0, , , 2916.6289999999999054, 1, , , 2916.6289999999999054, 1, , , 2916.6289999999999054, 0
, , 2916.6329999999998108, 0, , , 2916.6329999999998108, 1, , , 2916.6329999999998108, 1, , , 2916.6329999999998108, 0
, , 2916.63799999999992, 0, , , 2916.63799999999992, 1, , , 2916.63799999999992, 1, , , 2916.63799999999992, 0
, , 2916.6430000000000291, 0, , , 2916.6430000000000291, 1, , , 2916.6430000000000291, 1, , , 2916.6430000000000291, 0
, , 2916.6480000000001382, 0, , , 2916.6480000000001382, 1, , , 2916.6480000000001382, 1, , , 2916.6480000000001382, 0
, , 2916.6539999999999964, 0, , , 2916.6539999999999964, 1, , , 2916.6539999999999964, 1, , , 2916.6539999999999964, 0
, , 2916.6599999999998545, 0, , , 2916.6599999999998545, 1, , , 2916.6599999999998545, 1, , , 2916.6599999999998545, 0
, , 2916.6649999999999636, 0, , , 2916.6649999999999636, 1, , , 2916.6649999999999636, 1, , , 2916.6649999999999636, 0
, , 2916.6680000000001201, 1, , , 2916.6680000000001201, 1, , , 2916.6680000000001201, 1, , , 2916.6680000000001201, 1
, , 2916.6729999999997744, 1, , , 2916.6729999999997744, 1, , , 2916.6729999999997744, 1, , , 2916.6729999999997744, 1
, , 2916.6790000000000873, 1, , , 2916.6790000000000873, 1, , , 2916.6790000000000873, 1, , , 2916.6790000000000873, 1
, , 2916.6840000000001965, 1, , , 2916.6840000000001965, 1, , , 2916.6840000000001965, 1, , , 2916.6840000000001965, 1
, , 2916.6889999999998508, 1, , , 2916.6889999999998508, 1, , , 2916.6889999999998508, 1, , , 2916.6889999999998508, 1
, , 2916.693000000000211, 1, , , 2916.693000000000211, 1, , , 2916.693000000000211, 1, , , 2916.693000000000211, 1
, , 2916.6979999999998654, 1, , , 2916.6979999999998654, 1, , , 2916.6979999999998654, 1, , , 2916.6979999999998654, 1
, , 2916.7040000000001783, 1, , , 2916.7040000000001783, 1, , , 2916.7040000000001783, 1, , , 2916.7040000000001783, 1
, , 2916.7080000000000837, 1, , , 2916.7080000000000837, 1, , , 2916.7080000000000837, 1, , , 2916.7080000000000837, 1
